id,原始户名,调整后户名,企业/非企业,行业代码,单位编号,是否本地,街道/镇
16795,eb231b4d8d682a9f76d7df8c6f3ea712f8deffb691f31753ba9656f4,eb231b4d8d682a9f76d7df8c6f3ea712f8deffb691f31753ba9656f4,非企业,96,17880,本地,城区
16796,0bbb2428027b79e574516ded0b88419c9196add5d0b75b87d21326ae,0bbb2428027b79e574516ded0b88419c9196add5d0b75b87d21326ae,非企业,96,17881,本地,城区
16797,37d870cf48544f39f124996a4a19ed9f9431711068a3e9937de36d03,37d870cf48544f39f124996a4a19ed9f9431711068a3e9937de36d03,非企业,96,17882,本地,城区
16798,db7d00bb83a5bd3f3ae6f66beb37e063caaeeef516997143cdf27fc8,db7d00bb83a5bd3f3ae6f66beb37e063caaeeef516997143cdf27fc8,非企业,96,17883,本地,城区
16799,457a8198c9e0fc251f396b94a405253f8ab108c9ca575adc04cd967f,457a8198c9e0fc251f396b94a405253f8ab108c9ca575adc04cd967f,非企业,95,16910,本地,义亭
16800,9011f7e83233572a1193130ccc84cd1d550be8dd4d7c3acb0de2528c,9011f7e83233572a1193130ccc84cd1d550be8dd4d7c3acb0de2528c,非企业,96,17884,本地,城区
16801,cd4ed92b1d18897c7c92c69b142edfc51fe817cd019c7fefeaf4011f,cd4ed92b1d18897c7c92c69b142edfc51fe817cd019c7fefeaf4011f,非企业,72,15643,本地,城区
16802,449a51b8bb1c695c5c525bb58a57ec6baa398d190d5cfba55037fc26,449a51b8bb1c695c5c525bb58a57ec6baa398d190d5cfba55037fc26,非企业,96,17885,本地,城区
16803,87aebf9a39ee880f04019416e3b75d126564f83154c16fdf58607514,87aebf9a39ee880f04019416e3b75d126564f83154c16fdf58607514,非企业,99,18078,,
16804,abc0c22f26e09dcfd14352bffa1112e0153d89ff71007fd0e223654c,abc0c22f26e09dcfd14352bffa1112e0153d89ff71007fd0e223654c,非企业,96,17886,本地,城区
16805,b65c612ca3e7a2c58db3e45908fbae4568c3108a2e6ef9ec6af5fe1d,b65c612ca3e7a2c58db3e45908fbae4568c3108a2e6ef9ec6af5fe1d,非企业,96,17887,本地,城区
16806,996927d0bba9a506361a9161dbc461c39f2a7b090e118ede865fbd18,996927d0bba9a506361a9161dbc461c39f2a7b090e118ede865fbd18,非企业,72,15644,本地,城区
16807,37514d8fe6f62acf66b38c984b7582e6fb81650841817f889e7e3065,37514d8fe6f62acf66b38c984b7582e6fb81650841817f889e7e3065,非企业,72,15645,本地,城区
16808,f4d0dfb76e29ea03f688cb78d573ba2ddbc6f41064f6d1b2feda7227,f4d0dfb76e29ea03f688cb78d573ba2ddbc6f41064f6d1b2feda7227,非企业,72,15646,本地,城区
16809,4b1cfe8630e79d982717a66e76e5e64781d30f8545655b30699f5587,0b7bbb6cbf5fa8e0f42fbefbe96a81aed30afe55e69d58a7a00f32d1,非企业,63,15587,本地,城区
16810,9dbdd7425a588f9978624d7a8ebcc5103601c40a73dd724cf72f0ab3,9dbdd7425a588f9978624d7a8ebcc5103601c40a73dd724cf72f0ab3,非企业,96,17888,本地,大陈
16811,6a35a20431b0a408c74501ce23fb237e3bea88ce1b2ecd732f63308e,6a35a20431b0a408c74501ce23fb237e3bea88ce1b2ecd732f63308e,非企业,96,17889,本地,大陈
16812,795d4042c640c58c29fd51de6dd1f37735729b55d6d9517a9f41ddd5,795d4042c640c58c29fd51de6dd1f37735729b55d6d9517a9f41ddd5,非企业,96,17890,本地,大陈
16813,fa9815ddfb28e56466bd81ddb802030b9c7ba8d897cfb2d71e5870b0,fa9815ddfb28e56466bd81ddb802030b9c7ba8d897cfb2d71e5870b0,非企业,96,17891,本地,大陈
16814,77dfa0324e9da7beefc08284ed734897abc761630121c91eca0e3d57,77dfa0324e9da7beefc08284ed734897abc761630121c91eca0e3d57,非企业,96,17892,本地,大陈
16815,72d7c6ca5abbf19842dceeb155a4f72d5bc574d232ee57e9c5d408a2,72d7c6ca5abbf19842dceeb155a4f72d5bc574d232ee57e9c5d408a2,非企业,96,17893,本地,大陈
16816,587ca81d922905070c70ffd1b513f0fd0d433cdfc9d59ef3e8fe5a5e,587ca81d922905070c70ffd1b513f0fd0d433cdfc9d59ef3e8fe5a5e,非企业,96,17894,本地,大陈
16817,792e9e2ef52dea49f7505558196299249f96c03325da98c4903da152,792e9e2ef52dea49f7505558196299249f96c03325da98c4903da152,非企业,96,17895,本地,大陈
16818,c94820f58632bfddaa713244ff529529183d26873b7cf464b99c6267,c94820f58632bfddaa713244ff529529183d26873b7cf464b99c6267,非企业,96,17896,本地,大陈
16819,9b2b3a607c882ab519da3a5643274fd368b2f5f29467cf3263abbd22,9b2b3a607c882ab519da3a5643274fd368b2f5f29467cf3263abbd22,非企业,96,17897,本地,大陈
16820,e1f9a0f742681f12fbccf25f1fd33286b5e18ab31b7abecbeb6c1b42,e1f9a0f742681f12fbccf25f1fd33286b5e18ab31b7abecbeb6c1b42,非企业,96,17898,本地,大陈
16821,2d46a318c10c690ee51cffe9a278349a72f5559dd1ada13ee146df5f,2d46a318c10c690ee51cffe9a278349a72f5559dd1ada13ee146df5f,非企业,96,17899,本地,大陈
16822,af051287372bb6154dbc23562528f3b8e24513b69a4c15c760b2820f,af051287372bb6154dbc23562528f3b8e24513b69a4c15c760b2820f,非企业,96,17900,本地,大陈
16823,a9694fe7585920e5bbab68bcbaf5c738b4106ead087fa96c59c736b5,a9694fe7585920e5bbab68bcbaf5c738b4106ead087fa96c59c736b5,非企业,96,17901,本地,大陈
16824,a661a116c43430877aed6e50ba0024bce31e6d352f1b34ff36237dcf,a661a116c43430877aed6e50ba0024bce31e6d352f1b34ff36237dcf,非企业,96,17902,本地,大陈
16825,cb9b72a851b5cff7cb91f232f6dc55c7141c5e01c57ef6db47454fbb,cb9b72a851b5cff7cb91f232f6dc55c7141c5e01c57ef6db47454fbb,非企业,96,17903,本地,大陈
16826,28a189345b7f866251ebf663cafcd29b58a45ee3f84577045c556f1a,28a189345b7f866251ebf663cafcd29b58a45ee3f84577045c556f1a,非企业,96,17904,本地,大陈
16827,ac0d7dd1fb0fb788781508ce76d952f3e31fa5e743189c9e110ee94b,ac0d7dd1fb0fb788781508ce76d952f3e31fa5e743189c9e110ee94b,非企业,96,17905,本地,大陈
16828,6618aedd82a8f54d5579ce31059b2456262157ee85e63299b938ee03,6618aedd82a8f54d5579ce31059b2456262157ee85e63299b938ee03,非企业,96,17906,本地,大陈
16829,e851c9bf57c16327e3af6eee9eda93c98c0d3898e64fc7c74b595f20,b0d3cff8e1b96aab3e67ca538f38d9d40618f6cfc05582d9ef748ec9,非企业,92,16813,本地,赤岸
16830,1e2181051448b13a3169e47808ca915abe35756216459d113cf2076a,1e2181051448b13a3169e47808ca915abe35756216459d113cf2076a,非企业,99,18079,,
16831,6386fee40578956a26087bef931dafa3f9be2a5e50274250aaf3a9c8,6386fee40578956a26087bef931dafa3f9be2a5e50274250aaf3a9c8,非企业,83,16493,本地,大陈
16832,a8a41bb9ab6e5972e13cc9d9db5076a7eeaa63c6ecb2bce93ea1453c,a8a41bb9ab6e5972e13cc9d9db5076a7eeaa63c6ecb2bce93ea1453c,非企业,62,15528,本地,上溪
16833,06badfb95cdc2701ee3a2f9b1863fc5bdc9f04884f62d2255bdd54b7,06badfb95cdc2701ee3a2f9b1863fc5bdc9f04884f62d2255bdd54b7,非企业,92,16828,本地,大陈
16834,14fe07d56dfdc58e16b278f19080df75a30474a19c8e7af62e8b4c83,14fe07d56dfdc58e16b278f19080df75a30474a19c8e7af62e8b4c83,非企业,95,16911,本地,义亭
16835,9e935f2ad7c75c3ee782558e5d3a56f6eda575852a56af56691bc26c,9e935f2ad7c75c3ee782558e5d3a56f6eda575852a56af56691bc26c,非企业,95,16912,本地,城区
16836,18106a42fbb020b59dac1e819e79b7d4db0ae92e774eb47127475f0c,18106a42fbb020b59dac1e819e79b7d4db0ae92e774eb47127475f0c,非企业,72,15647,本地,城区
16837,9755ed75eaad37790db119f5359b08a0a09f19a72ae6fc5fd86818b7,9755ed75eaad37790db119f5359b08a0a09f19a72ae6fc5fd86818b7,非企业,62,15529,本地,城区
16838,943ac712b929ce9d32a7c78329f5abd40d9f7366f562a03a1223f411,2200a2ad5d21ce14af7fda5813abed943a07aaad9737ef610f8f4352,非企业,92,16812,本地,苏溪
16839,f4c26c4512eea9dfae910dbe20cf477a48dcfeae8a140b7d5cf7e2d1,f4c26c4512eea9dfae910dbe20cf477a48dcfeae8a140b7d5cf7e2d1,非企业,85,16793,本地,义亭
16840,e1a6b46d64a36e250888216211813e816bebb4f4e26afa7b92675a95,e1a6b46d64a36e250888216211813e816bebb4f4e26afa7b92675a95,非企业,76,16465,本地,大陈
16841,adaa44dda09cc91c335b243fad092f1ee53e7a70fa6639e6a88fa86d,adaa44dda09cc91c335b243fad092f1ee53e7a70fa6639e6a88fa86d,非企业,96,17907,本地,大陈
16842,35932523cef7c14fdab033a3a67c7be9867cdeac1ef53ac0057c9211,494907d1a739f46a0837e87f93083716a1df184bab434314fded642f,非企业,92,16815,本地,义亭
16843,0ed282ba44909e552d3179e5a8c70f0c1de521fe19339e53d8fde8a4,0ed282ba44909e552d3179e5a8c70f0c1de521fe19339e53d8fde8a4,非企业,92,16825,本地,城西
16844,b6eab1dce058ad35cb7da32ef4e65142d9d9825e1491dc0b2d8c4db8,e1a6b46d64a36e250888216211813e816bebb4f4e26afa7b92675a95,非企业,76,16465,本地,大陈
16845,42401a09bac2accabf6783e4c648cc556b3a7a58456470d8b25ccac4,42401a09bac2accabf6783e4c648cc556b3a7a58456470d8b25ccac4,非企业,96,17908,本地,江东
16846,494907d1a739f46a0837e87f93083716a1df184bab434314fded642f,494907d1a739f46a0837e87f93083716a1df184bab434314fded642f,非企业,92,16815,本地,义亭
16847,c57bbe70ccb61e1c6576b4d11b0ea68376041e8eeff3c70232b3039d,c57bbe70ccb61e1c6576b4d11b0ea68376041e8eeff3c70232b3039d,非企业,95,16913,本地,后宅
16848,df521702f6de81fab5dcbfd4032fc82a2a143119324264fd74d823bf,df521702f6de81fab5dcbfd4032fc82a2a143119324264fd74d823bf,非企业,99,18080,,
16849,7aa404a2ddbc539e228a429c9a9f53acc163ed6b804062ee90c0237a,7aa404a2ddbc539e228a429c9a9f53acc163ed6b804062ee90c0237a,非企业,62,15530,本地,廿三里
