company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
bfab8fd62844f3c411f814e13e3f4aaf576c011f6fd755d8b849878f,bfab8fd62844f3c411f814e13e3f4aaf576c011f6fd755d8b849878f,928,41,E,义亭,84203,18908,2245,5
70d3be3d83ae9d2a25a493fcc59895d0f4984a4d1bb2b4ebeaef00f1,70d3be3d83ae9d2a25a493fcc59895d0f4984a4d1bb2b4ebeaef00f1,929,70,E,城区,966304,344290,3562,1
85f2344933bc7a6b79a929473445eeedfbd620f87003e4354766fafb,85f2344933bc7a6b79a929473445eeedfbd620f87003e4354766fafb,930,96,P,城西,71650,14791,2064,6
b7fa4f24c4faa5f7573f1a9a384b24c590d39167120b59141e2cc999,b7fa4f24c4faa5f7573f1a9a384b24c590d39167120b59141e2cc999,931,18,E,城西,71650,14791,2064,6
e831649d748afcb5c3ee42567ff774394445836249c7f7e7147728ca,e831649d748afcb5c3ee42567ff774394445836249c7f7e7147728ca,932,96,P,赤岸,37791,12134,3210,4
310c0c01ea55e4776824be324cbdec076e997df49fc6e3febc8db73b,310c0c01ea55e4776824be324cbdec076e997df49fc6e3febc8db73b,933,18,E,苏溪,74950,16888,2253,8
5ebab20b0ce36039933eee322747f27390166d7f8e0f4d0cfe821f8a,5ebab20b0ce36039933eee322747f27390166d7f8e0f4d0cfe821f8a,934,23,E,苏溪,74950,16888,2253,8
915bc2a81096d4519e18a7ce2ee5018cdbf15bbafb97d4e14e50f023,915bc2a81096d4519e18a7ce2ee5018cdbf15bbafb97d4e14e50f023,935,54,E,城区,966304,344290,3562,1
4dcbe72350052a67289e7bb4bf85b7659b53e57bfbf5bddae4a42e0c,4dcbe72350052a67289e7bb4bf85b7659b53e57bfbf5bddae4a42e0c,936,26,E,义亭,84203,18908,2245,5
0ed4641e5a735c678c8117b6cdc52be682009ec08bbd1741c4e068c8,0ed4641e5a735c678c8117b6cdc52be682009ec08bbd1741c4e068c8,937,51,E,城区,966304,344290,3562,1
d72524b15719a4073166d10aaab44be1189257c2a618a48d304a1bb2,d72524b15719a4073166d10aaab44be1189257c2a618a48d304a1bb2,938,52,E,城区,966304,344290,3562,1
d85cf05679c7249b3fcf0287f04262b50b38387d448cecbe6c948604,d85cf05679c7249b3fcf0287f04262b50b38387d448cecbe6c948604,939,18,E,大陈,71817,16992,2366,9
12827a8c709136e08ac71ae8b3d6cc68f059f173f22889149bd59333,12827a8c709136e08ac71ae8b3d6cc68f059f173f22889149bd59333,940,19,E,后宅,125147,15308,1223,2
9561d596d56cc79d43c932eddf6ee3e7495887271dc7228466cfb212,9561d596d56cc79d43c932eddf6ee3e7495887271dc7228466cfb212,941,17,E,佛堂,172382,45347,2630,3
171e2c93af3e86e8be587007217e5a49cb44b7ed7ad29bfb978ff51b,171e2c93af3e86e8be587007217e5a49cb44b7ed7ad29bfb978ff51b,942,17,E,廿三里,99084,23020,2323,10
7d4004b602a82e8ea97c7654f2d85c3e04f3612d0dc5e1629550a680,7d4004b602a82e8ea97c7654f2d85c3e04f3612d0dc5e1629550a680,943,18,E,大陈,71817,16992,2366,9
0c3ff35eb8c6a912e270d93e43449701c48cf12f9b363a05de7d0687,0c3ff35eb8c6a912e270d93e43449701c48cf12f9b363a05de7d0687,944,23,E,苏溪,74950,16888,2253,8
152928a654b83873625d14fb8f1adeb9612f6d0ea43316cde30208d7,152928a654b83873625d14fb8f1adeb9612f6d0ea43316cde30208d7,945,24,E,上溪,83558,17358,2077,7
772799aba4e8948c9121709f13371f02732c92b14fc81a979e427dfb,772799aba4e8948c9121709f13371f02732c92b14fc81a979e427dfb,946,17,E,义亭,84203,18908,2245,5
2b53c72592dd89b50dba1fa051c797813d10e60b033e8feaebc058f0,2b53c72592dd89b50dba1fa051c797813d10e60b033e8feaebc058f0,947,41,E,上溪,83558,17358,2077,7
22828c57ef6a8a382cde4c76fd78604a12e1a131bcd6707c86d35036,22828c57ef6a8a382cde4c76fd78604a12e1a131bcd6707c86d35036,948,96,P,佛堂,172382,45347,2630,3
7cbfd7b02bd1ba4da95800155f77ca837a32008c1a1ea7b24d460eb4,308beb1c3cf3067820b27cdfb502bf2eca99b6ceeafe52ae0f209617,949,92,P,城区,966304,344290,3562,1
a3f4c88ac088838726ed83db1ed581dfaec2230b155de46fac445e68,a3f4c88ac088838726ed83db1ed581dfaec2230b155de46fac445e68,950,19,E,城西,71650,14791,2064,6
13e84b0edcd79d409da53292a71bac2f8e4175f2116b560011b931b8,13e84b0edcd79d409da53292a71bac2f8e4175f2116b560011b931b8,951,51,E,城西,71650,14791,2064,6
74fbff3228df014857aa5a903dbe91d3dd4c05191e9787c86aa8fed4,74fbff3228df014857aa5a903dbe91d3dd4c05191e9787c86aa8fed4,952,41,E,苏溪,74950,16888,2253,8
f68b331258bbfaaaba2f07cfd03f490aaeaba582cd0662a2120517b8,f68b331258bbfaaaba2f07cfd03f490aaeaba582cd0662a2120517b8,953,1,E,苏溪,74950,16888,2253,8
06beeb20bcf8da412b931aed20f98f2f6eacbbc33dada35aded4d2b5,06beeb20bcf8da412b931aed20f98f2f6eacbbc33dada35aded4d2b5,954,18,E,上溪,83558,17358,2077,7
e7d42cb768475efa36e460b747a5903969c7f6d405c6056a507f9635,e7d42cb768475efa36e460b747a5903969c7f6d405c6056a507f9635,955,29,E,后宅,125147,15308,1223,2
0b2f8ac3858650983686bbf5b8b02ec16118b58a88cbb1fef9a4e06a,0b2f8ac3858650983686bbf5b8b02ec16118b58a88cbb1fef9a4e06a,956,17,E,后宅,125147,15308,1223,2
